Ref,Val,Package,PosX,PosY,Rot,Side
"R17","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.250000,-43.500000,90.000000,top
"R18","100R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.250000,-46.500000,90.000000,top
"R19","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.250000,-46.500000,90.000000,top
"R20","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",158.000000,-82.900000,180.000000,top
"R21","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.500000,-52.250000,-90.000000,top
"R22","100R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.250000,-40.500000,90.000000,top
"R23","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",144.250000,-40.500000,90.000000,top
"R24","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",128.425000,-65.850000,-90.000000,top
"U1","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",149.500000,-81.000000,180.000000,top
"U2","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",139.750000,-61.100000,180.000000,top
"U3","24LC00","SOIC-8_3.9x4.9mm_P1.27mm",130.250000,-48.750000,0.000000,top
"U4","74LS573","TSSOP-20_4.4x6.5mm_P0.65mm",157.612500,-57.425000,0.000000,top
"U6","74LVC4245A-Q100","TSSOP-24_4.4x7.8mm_P0.65mm",157.612500,-72.075000,180.000000,top
"U7","74LS573","TSSOP-20_4.4x6.5mm_P0.65mm",157.612500,-42.925000,0.000000,top
"U8","SY8079AAC","SOT-23-5",138.750000,-82.000000,0.000000,top
"U9","AP3012","SOT-23-5",157.750000,-35.750000,0.000000,top
"U10","AP3012","SOT-23-5",148.500000,-35.750000,0.000000,top
"U11","W25Q16JVUXIQ","PSON50P300X200X60-9N",149.500000,-81.000000,180.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.000000,-52.750000,0.000000,top
